,X.1,X,point_ID,study,study_ID,location,country,region,lat,long,reef.type,reef.zone,mindepth,maxdepth,disturbance,distrubance.year,pre.dist.cc,pre.dist.year,post.dist.cc,post.dist.year,recovery.cc,rel.pre.dist,rel.post.dist,rel.recov.cc,rel_rec_rate,rel_res,recovery.year,resistance.time,recovery_time,calculated.recovery.rate,recovery.rate,resistance,resistance.rate,richness,hii100km,hii75km,hii50km,hii25km,hii10km,distance_to_shore_m,MPA_status,MPA_during_recov,MPA_during_resist,yrs_as_MPA_pre_dist,years_of_recov_protected,percent_recov_protected,MPA_name,MPA_designation,MPA_DESIG_TYPE,MPA_IUCN_CAT,NO_TAKE,STATUS,STATUS_YR,river,riv_row,dist_to_riv_m,coast,dist_to_riv_km,name,name_alt,hii500km,hii1000km,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,gravity.point.ID,gravity.poly.ID,gravity.reef_ID,gravity.Grav_tot,travel_time.point.ID,travel_time.poly.ID,travel_time.reef_ID,travel_time.tt_pop,travel_time.tt_market,hii100km2,hii500km2,recovery_time2,distance_to_shore_m2,grav_NC2,cml_scr2,gravity.Grav_tot2,travel_time.tt_pop2,resistance_time2,resistance_time_2,dist_to_riv_m2
34,35,103,191,Lamy et al (2015),64,"Ahi, Moorea",Moorea,E. Pacific,-17.5489999,-149.771,fringing,outer slope,10,10,COTS,2006,47.91,2006,5.49,2009,4,100,11.4589856,8.348987685,-3.109997913,-88.5410144,2010,3,1,-1.49,NA,-42.42,-14.14,NA,26354,26354,21060,6720,2314,4560,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950187.37,4038,3950.18737,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,35,NA,NA,NA,35,NA,NA,NA,NA,-0.559576187,-0.928443338,-1.100755795,-0.178874959,0.614102991,0.907527831,NA,NA,-0.229182369,-0.229182369,1.998374841
35,36,96,185,Lamy et al (2015),64,"Tiahura Reef, Moorea",Moorea,E. Pacific,-17.4829999,-149.9,fringing,outer slope,10,10,COTS,2006,54.95,2005,9.91,2008,3.36,100,18.03457689,6.114649682,-5.959963603,-81.96542311,2010,3,2,-3.275,NA,-45.04,-15.0133333,NA,26354,22814,12954,3160,1718,938,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3944911.9,4038,3944.9119,Whakatane,NA,35782,42424,0.72238767,0.7565206,0,0.9556927,0.9626122,0.6608074,0.67087818,5,36,24122,24172,54,36,24122,24172,13,80,-0.559576187,-0.928447342,-0.833509985,-0.275737623,0.194318909,0.700472407,-0.233032122,-0.31288321,-0.229182369,-0.229182369,1.994285193
36,37,100,189,Lamy et al (2015),64,"Nuarei, Moorea",Moorea,E. Pacific,-17.5009999,-149.755,fringing,outer slope,10,10,COTS,2006,47.92,2006,1.42,2009,1.35,100,2.96327212,2.817195326,-0.146076795,-97.03672788,2010,3,1,-0.07,NA,-46.5,-15.5,NA,26354,26228,20830,6464,1610,3930,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3955019.49,4038,3955.01949,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,37,NA,NA,NA,37,NA,NA,NA,NA,-0.559576187,-0.928443338,-1.100755795,-0.195722965,0.449647405,-0.275062118,NA,NA,-0.229182369,-0.229182369,2.002120796
37,38,98,187,Lamy et al (2015),64,"Pihaena, Moorea",Moorea,E. Pacific,-17.4769999,-149.829,fringing,outer slope,10,10,COTS,2006,48.72,2006,1.12,2008,1.12,100,2.298850575,2.298850575,0,-97.70114943,2010,2,2,0,NA,-47.6,-23.8,NA,26354,24442,16738,3232,2816,380,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950961.41,4038,3950.96141,Whakatane,NA,35782,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,38,24122,24172,54,38,24122,24172,13,80,-0.559576187,-0.928447342,-0.833509985,-0.290660143,0.375827954,0.89079872,-0.233032122,-0.31288321,-0.435333232,-0.435333232,1.998974892
38,39,97,186,Lamy et al (2015),64,"Entre 2 Baies, Moorea",Moorea,E. Pacific,-17.4759999,-149.837,fringing,outer slope,10,10,COTS,2006,55.4,2005,6.36,2009,3.79,100,11.4801444,6.841155235,-4.63898917,-88.5198556,2010,4,1,-2.57,NA,-49.04,-12.26,NA,26354,24246,16312,3178,2844,473,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950404.42,4038,3950.40443,Whakatane,NA,35782,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,39,24122,24172,54,39,24122,24172,13,80,-0.559576187,-0.928447342,-1.100755795,-0.288173056,0.375827954,0.89079872,-0.233032122,-0.31288321,-0.023031507,-0.023031507,1.998543103
39,40,93,182,Russ et al (2015),63,"Apo Island, Phillipines",Phillipines,W. Pacific,9.0800001,123.27,fringing,slope,3,17,Bleaching,1998,12.65,1994,20.75,1998,50.12,100,164.0316206,396.2055336,25.79710145,64.03162055,2007,4,9,3.26333333,NA,8.1,2.025,NA,277741,144470,58234,13162,678,0,Inside,Yes,Yes,4,9,100,Apo Island,Protected Landscape and Seascape,National,V: Protected Seascape,Not Reported,Designated,1994,111,13,225516.31,144,225.51631,NA,NA,4544731,9766771,0.68760653,0.6790058,0,0.9806946,0.9397528,0.926796,0.69299618,4,40,NA,NA,NA,40,NA,NA,NA,NA,1.79106828,0.876971976,1.03721068,-0.300822433,0.047706346,0.799517455,NA,NA,-0.023031507,-0.023031507,-0.889063716
40,41,95,184,Russ et al (2015),63,"Sumilon, Phillipines",Phillipines,W. Pacific,9.4300001,123.39,fringing,slope,3,17,Bleaching,1998,19.41,1995,11.82,1998,23.03,100,60.89644513,118.6501803,6.417081688,-39.10355487,2007,3,9,1.24555556,NA,-7.59,-2.53,NA,342263,191774,87442,17163,2375,0,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,111,13,255613.82,144,255.61382,NA,NA,4756130,9637898,0.66226518,0.9473221,0,0.957909,0.9602582,0.9396569,0.73628676,5,41,NA,NA,NA,41,NA,NA,NA,NA,2.394394158,0.96161783,1.03721068,-0.300822433,-0.059114772,0.993373933,NA,NA,-0.229182369,-0.229182369,-0.865731532
41,42,94,183,Russ et al (2015),63,"Sumilon, Phillipines",Phillipines,W. Pacific,9.4300001,123.39,fringing,slope,3,17,Bleaching,1998,39.41,1995,25.69,1998,35.25,100,65.18650089,89.44430348,2.695311399,-34.81349911,2007,3,9,1.06222222,NA,-13.72,-4.5733333,NA,342263,191774,87442,17163,2375,0,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,111,13,255613.82,144,255.61382,NA,NA,4756130,9637898,0.66226518,0.9473221,0,0.957909,0.9602582,0.9396569,0.73628676,5,42,NA,NA,NA,42,NA,NA,NA,NA,2.394394158,0.96161783,1.03721068,-0.300822433,-0.059114772,0.993373933,NA,NA,-0.229182369,-0.229182369,-0.865731532
42,43,92,181,Russ et al (2015),63,"Apo Island, Phillipines",Phillipines,W. Pacific,9.0800001,123.27,fringing,slope,3,17,Bleaching,1998,63.42,1997,46.15,1998,66.29,100,72.76884264,104.5253863,3.528504853,-27.23115736,2007,1,9,2.23777778,NA,-17.27,-17.27,NA,277741,144470,58234,13162,678,0,Inside,Yes,Yes,4,9,100,Apo Island,Protected Landscape and Seascape,National,V: Protected Seascape,Not Reported,Designated,1994,111,13,225516.31,144,225.51631,NA,NA,4544731,9766771,0.68760653,0.6790058,0,0.9806946,0.9397528,0.926796,0.69299618,4,43,NA,NA,NA,43,NA,NA,NA,NA,1.79106828,0.876971976,1.03721068,-0.300822433,0.047706346,0.799517455,NA,NA,-0.641484094,-0.641484094,-0.889063716
43,44,91,180,DeBose et al (2013),62,"Stetson Bank, Gulf of Mexico",Texas,Caribbean,28.2000001,-94.3,atoll,flat,15,15,"Bleaching, Storm",2005,29.8,2005,7.43,2006,5.73,100,24.93288591,19.22818792,-2.852348993,-75.06711409,2008,1,2,-0.85,NA,-22.37,-22.37,NA,0,0,0,0,0,126000,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,588,85,484539.8,206,484.5398,Mississippi,NA,9238943,43169579,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,44,NA,NA,NA,NA,-0.80600454,2.756572085,-0.833509985,3.068778807,NA,NA,NA,NA,-0.641484094,-0.641484094,-0.688263592
44,45,89,179,Gilmour et al (2013),61,"Scott Reef, Australia",Australia,Indian Ocean,-14.0688199,121.76593,atoll,slope,9,9,Bleaching,1998,48.24,1998,10.96,1999,43.33,100,22.71973466,89.82172471,5.591832504,-77.28026534,2011,1,12,2.6975,NA,-37.28,-37.28,NA,0,0,0,0,0,0,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,491,76,436688.11,22,436.68811,Fitzroy,NA,527131,4454930,0.25663501,0.3105539,0,0,0,0,0.09834324,2,45,22418,22466,0,45,22418,22466,971,1551,-0.80600454,-0.731707264,1.838948108,-0.300822433,-1.768963234,-1.863355729,-0.246787194,4.762356041,-0.641484094,-0.641484094,-0.725359167
45,46,88,178,Speed et al (2013),60,"Bundegi Reef, Australia",Australia,Indian Ocean,-21.8049317,114.18648,,,,,Storm,1999,75.78,1989,10.41,1999,48.48,100,13.73713381,63.9746635,5.023752969,-86.26286619,2009,10,10,3.807,NA,-65.37,-6.537,NA,91275,42285,13389,4768,1078,1410,Inside,Yes,No,0,4,40,Ningaloo,Marine Park,National,II: National Park,All,Designated,2005,491,76,1089106,22,1089.10601,Fitzroy,NA,1631232,5397822,0.25702834,0.333431,0,0.9569932,0.5499117,0.569694,0.43986079,4,46,26474,26525,15,46,26474,26525,1,3496,0.04748062,-0.289616375,1.304456489,-0.26311499,-1.767305234,-0.334030194,-0.24296634,-0.376456144,1.213873668,1.213873668,-0.219591935
46,47,87,177,Haapkyla et al (2013),59,"Geoffrey Bay, GBR, Australia",Australia,W. Pacific,-19.1558332,146.86111,inner shelf,inner shelf,5,5,Bleaching,2009,39.44,2008,21.67,2009,30.28,100,54.94421907,76.77484787,21.8306288,-45.05578093,2010,1,1,8.61,NA,-17.77,-17.77,NA,196220,108349,60479,24087,1481,68.1,Inside,Yes,Yes,5,1,100,Great Barrier Reef,Marine Park,National,II: National Park,All,Designated,2004,1329,194,634576.25,23,634.57625,Fitzroy,NA,2715177,8211066,0.97698114,0.7335885,0,0.9648326,0.9298588,0.7067787,0.71465533,1,47,NA,NA,NA,47,NA,NA,NA,NA,1.028789851,0.144403891,-1.100755795,-0.299001243,1.267504006,0.896507759,NA,NA,-0.641484094,-0.641484094,-0.571952373
47,48,86,176,Haapkyla et al (2013),59,"Nelly Bay, GBR, Australia",Australia,W. Pacific,-19.1719444,146.84833,inner shelf,inner shelf,5,5,Bleaching,2009,58.06,2008,31.39,2009,48.61,100,54.06476059,83.72373407,29.65897348,-45.93523941,2010,1,1,17.22,NA,-26.67,-26.67,NA,200650,110833,62516,27353,2023,1400,Inside,Yes,Yes,5,1,100,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,634051.58,23,634.05158,Fitzroy,NA,2729085,8226280,0.98233785,0.8788373,0,0.9911715,0.9403781,0.7037754,0.74648684,4,48,NA,NA,NA,48,NA,NA,NA,NA,1.070213452,0.149972766,-1.100755795,-0.263382419,1.290084087,1.039050188,NA,NA,-0.641484094,-0.641484094,-0.572359107
48,49,85,175,Phongsuwan et al (2013),58,"Similan Islands, Thailand",Thailand,Indian Ocean,8.6600001,97.65,reef slope,reef slope,2,15,Bleaching,1998,26.84,1988,29.4,2002,31.66,100,109.538003,117.9582712,2.105067064,9.538002981,2006,14,4,0.565,NA,2.56,0.1828571,NA,71994,11193,190,162,126,507,Inside,Yes,Yes,20,4,100,Ao Phangnga - Mu Koh Surin - Mu Koh Similan,National Park and ASEAN Heritage Park,National,II: National Park,Not Reported,Designated,1982,1322,192,674621.99,123,674.62199,Asahan,NA,3164143,21189829,0.27337941,0.5554436,0,0.9945967,0,0,0.31615745,4,49,9323,9341,36,49,9323,9341,36,260,-0.132810231,0.324173476,-0.299018367,-0.287263799,-1.698380746,-0.887977353,-0.237617146,-0.191035086,2.038477118,2.038477118,-0.540908124
49,50,84,174,Phongsuwan et al (2013),58,"Surin Islands, Thailand",Thailand,Indian Ocean,9.4100001,97.88,reef slope,reef slope,2,15,Bleaching,1998,43.01,1988,35.54,1998,55.28,100,82.63194606,128.5282492,5.737037898,-17.36805394,2006,10,8,2.4675,NA,-7.47,-0.747,NA,104190,31784,1312,461,443,723,Inside,Yes,Yes,17,8,100,Mu Ko Surin,Marine National Park,National,II: National Park,All,Designated,1981,1322,192,745121.28,123,745.12128,Asahan,NA,2860220,23659840,0.33144163,0.7353469,0,0.9947615,0.5522289,0,0.4420619,4,50,8765,8781,26,50,8765,8781,9,318,0.168244912,0.202480271,0.769964871,-0.28148734,-1.453631699,-0.324173559,-0.240164382,-0.334074188,1.213873668,1.213873668,-0.486255683
50,51,83,173,Kuo et al (2012),57,"Wanlitung Reef, Taiwan",Taiwan,W. Pacific,21.9950168,120.7036,fringing reef,,,,"Bleaching, Storm",1997,35,1987,19.57,1999,46.92,100,55.91428571,134.0571429,19.53571429,-44.08571429,2003,12,4,6.8375,NA,-15.43,-1.2858333,NA,190314,99317,41380,18849,6404,713,Inside,Yes,Yes,15,4,100,Kenting,National Park,National,II: National Park,Not Reported,Designated,1984,1242,183,681319.6,278,681.3196,Ou,NA,3232136,21020005,0.96647375,0.9176863,0,0.9573778,0.7871304,0.8248485,0.73968275,1,51,NA,NA,NA,51,NA,NA,NA,NA,0.973564615,0.351398418,-0.299018367,-0.281754768,1.223212318,1.008581275,NA,NA,1.626175393,1.626175393,-0.535716005
51,52,82,172,Shibuna et al (2002),56,"Ishigaki Island, Japan",Japan,W. Pacific,24.4700001,124.21,outer reef flat,reef flat,1,2,Bleaching,1998,38.6,1997,2.5,1998,4.9,100,6.476683938,12.69430052,3.10880829,-93.52331606,2000,1,2,1.2,NA,-36.1,-36.1,NA,18610,18610,16822,9600,5242,1540,Inside,Yes,Yes,26,2,100,Iriomote ishigaki,National Park,National,II: National Park,Not Reported,Designated,1972,1242,183,544598.65,278,544.59865,Ou,NA,1467763,16462819,0.85653013,0.9024104,0,0.9740274,0.712226,0.7378623,0.69605233,4,52,1482,1482,324,52,1482,1482,2,794,-0.63198801,-0.355070673,-0.833509985,-0.259638417,0.759768168,0.813202984,-0.164256766,-0.3711584,-0.641484094,-0.641484094,-0.641704785
52,53,74,165,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,3,4,Bleaching,1998,11.05,1998,8,1999,6,100,72.39819005,54.29864253,-18.09954751,-27.60180995,2000,1,1,-2,NA,-3.05,-3.05,NA,65996,61599,51080,30576,10046,885,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,53,713,713,6644,53,713,713,4,13,-0.188895731,-0.889763523,-1.100755795,-0.277154995,1.331533532,1.162096398,1.445596025,-0.360562911,-0.641484094,-0.641484094,-0.491430732
53,54,76,167,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,9,10,Bleaching,1998,25.53,1998,16.49,1999,17.98,100,64.59067763,70.42694869,5.836271054,-35.40932237,2000,1,1,1.49,NA,-9.04,-9.04,NA,65996,61599,51080,30576,10046,885,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,54,713,713,6644,54,713,713,4,13,-0.188895731,-0.889763523,-1.100755795,-0.277154995,1.331533532,1.162096398,1.445596025,-0.360562911,-0.641484094,-0.641484094,-0.491430732
54,55,81,171,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,9,10,Bleaching,1998,18.19,1998,9.15,1999,9.36,100,50.30236394,51.45684442,1.154480484,-49.69763606,2000,1,1,0.21,NA,-9.04,-9.04,NA,66156,62145,51812,30049,9946,701,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,55,676,676,1511,55,676,676,1,43,-0.187399618,-0.889763523,-1.100755795,-0.282075683,1.331533532,1.162096398,0.13810008,-0.376456144,-0.641484094,-0.641484094,-0.492757753
55,56,80,170,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,6,7,Bleaching,1998,23.19,1998,14.04,1999,6.38,100,60.54333765,27.51185856,-33.03147909,-39.45666235,2000,1,1,-7.66,NA,-9.15,-9.15,NA,66156,62145,51812,30049,9946,701,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,56,676,676,1511,56,676,676,1,43,-0.187399618,-0.889763523,-1.100755795,-0.282075683,1.331533532,1.162096398,0.13810008,-0.376456144,-0.641484094,-0.641484094,-0.492757753
56,57,77,168,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,0,1,Bleaching,1998,12.42,1998,2.42,1999,2.84,100,19.48470209,22.86634461,3.381642512,-80.51529791,2000,1,1,0.42,NA,-10,-10,NA,66156,62145,51812,30049,9946,701,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,57,676,676,1511,57,676,676,1,43,-0.187399618,-0.889763523,-1.100755795,-0.282075683,1.331533532,1.162096398,0.13810008,-0.376456144,-0.641484094,-0.641484094,-0.492757753
57,58,75,166,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,6,7,Bleaching,1998,22.77,1998,8.72,1999,14.26,100,38.29600351,62.62626263,24.33025911,-61.70399649,2000,1,1,5.54,NA,-14.05,-14.05,NA,65996,61599,51080,30576,10046,885,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,58,713,713,6644,58,713,713,4,13,-0.188895731,-0.889763523,-1.100755795,-0.277154995,1.331533532,1.162096398,1.445596025,-0.360562911,-0.641484094,-0.641484094,-0.491430732
58,59,78,169,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,3,4,Bleaching,1998,25.26,1998,2.74,1999,3.47,100,10.84718923,13.73713381,2.889944576,-89.15281077,2000,1,1,0.73,NA,-22.52,-22.52,NA,66156,62145,51812,30049,9946,701,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,59,676,676,1511,59,676,676,1,43,-0.187399618,-0.889763523,-1.100755795,-0.282075683,1.331533532,1.162096398,0.13810008,-0.376456144,-0.641484094,-0.641484094,-0.492757753
59,60,73,164,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,0,1,Bleaching,1998,47.05,1998,1.05,1999,1.05,100,2.231668438,2.231668438,0,-97.76833156,2000,1,1,0,NA,-46,-46,NA,65996,61599,51080,30576,10046,885,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,60,713,713,6644,60,713,713,4,13,-0.188895731,-0.889763523,-1.100755795,-0.277154995,1.331533532,1.162096398,1.445596025,-0.360562911,-0.641484094,-0.641484094,-0.491430732
60,61,72,163,Schleyer et al (2008),54,"9 mile reef, South Africa",South Africa,Indian Ocean,-27.4149166,32.72661,shelf slope,reef slope,12,12,Bleaching,2000,12.74,2000,12.36,2001,13.99,100,97.01726845,109.811617,2.558869702,-2.982731554,2006,1,5,0.326,NA,-0.38,-0.38,NA,336051,188186,82197,22103,3844,772,Inside,Yes,Yes,1,5,100,Maputaland Marine Protected Area,Marine Protected Area,National,Not Reported,Not Reported,Designated,2000,1116,176,720963.32,24,720.96332,Great Kei,NA,8701788,27880069,NA,0.6523738,0,0,0.4892416,0.6145966,0.34145328,2,61,NA,NA,NA,61,NA,NA,NA,NA,2.336307608,2.541490917,-0.031772557,-0.280176939,NA,-0.77470189,NA,NA,-0.641484094,-0.641484094,-0.50498341
61,62,70,161,Wakeford et al (2008),53,"Lizard Island, GBR",Australia,W. Pacific,-14.6999999,145.46,fore reef,reef slope,2.5,2.5,Storm,1990,28.1,1989,20.59,1991,41.48,100,73.27402135,147.6156584,18.58540925,-26.72597865,1995,2,4,5.2225,NA,-7.51,-3.755,NA,44540,24180,7288,44,40,1660,Inside,No,No,0,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1086500.19,22,1086.50019,Roper,NA,1556447,8193603,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,62,22637,22686,1,62,22637,22686,121,522,-0.389524354,-0.319560888,-0.299018367,-0.256429273,-0.896156545,-0.485972677,-0.24653247,0.259273198,-0.435333232,-0.435333232,-0.22161201
62,63,69,160,Wakeford et al (2008),53,"Lizard Island, GBR",Australia,W. Pacific,-14.6999999,145.46,fore reef,reef slope,2.5,2.5,"Bleaching, COTS",1982,25.38,1981,10.38,1982,28.1,100,40.89834515,110.7171001,9.974107846,-59.10165485,1989,1,7,2.53142857,NA,-15,-15,NA,44540,24180,7288,44,40,1660,Inside,No,No,0,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1086500.19,22,1086.50019,Roper,NA,1556447,8193603,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,63,22637,22686,1,63,22637,22686,121,522,-0.389524354,-0.319560888,0.502719061,-0.256429273,-0.896156545,-0.485972677,-0.24653247,0.259273198,-0.641484094,-0.641484094,-0.22161201
63,64,71,162,Wakeford et al (2008),53,"Lizard Island, GBR",Australia,W. Pacific,-14.6999999,145.46,fore reef,reef slope,2.5,2.5,COTS,1996,41.48,1995,18.68,1997,23.98,100,45.03375121,57.81099325,2.555448409,-54.96624879,2002,2,5,1.06,NA,-22.8,-11.4,NA,44540,24180,7288,44,40,1660,Inside,No,No,0,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1086500.19,22,1086.50019,Roper,NA,1556447,8193603,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,64,22637,22686,1,64,22637,22686,121,522,-0.389524354,-0.319560888,-0.031772557,-0.256429273,-0.896156545,-0.485972677,-0.24653247,0.259273198,-0.435333232,-0.435333232,-0.22161201
64,65,67,159,Reigl et al (2009),52,"Roatan, Honduras",Honduras,Caribbean,16.3223016,-86.58125,reef crest,reef slope,12,12,"Bleaching, Storm",1998,28.63,1998,19.68,1999,18.78,100,68.73908488,65.59552917,-0.523925952,-31.26091512,2005,1,6,-0.15,NA,-8.95,-8.95,NA,158014,40226,4650,3014,1445,127,Inside,No,No,0,0,0,Islas de la Bahia,Marine National Park,National,Not Reported,Not Reported,Designated,2013,767,121,130566.77,207,130.56677,Ula,NA,9429893,20211650,0.77704107,0.9593926,0.9982233,0.9987362,0.6610453,0.7255541,0.85978503,4,65,NA,NA,NA,65,NA,NA,NA,NA,0.671536999,2.833029995,0.235473252,-0.297426088,0.424698794,1.546402783,NA,NA,-0.641484094,-0.641484094,-0.962670474
65,67,61,153,Wilson et al 2009,51,"19-131, GBR",Australia,W. Pacific,-19.7666666,149.36667,mid shelf,reef slope,6,9,Storm,1997,61.63,1996,38.24,1998,43.28,100,62.04770404,70.22553951,1.16826221,-37.95229596,2005,2,7,0.72,NA,-23.39,-11.695,NA,16759,2512,0,0,0,44600,Inside,Yes,No,0,1,14.28571,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,442662.85,23,442.66285,Fitzroy,NA,2240383,8238431,0.44357663,0,0,0,0,0,0.07691046,1,67,25263,25314,2,67,25263,25314,168,519,-0.649296156,-0.045707432,0.502719061,0.891909435,-0.980950248,-1.959332342,-0.246277747,0.508267191,-0.435333232,-0.435333232,-0.72072743
66,68,62,154,Wilson et al 2009,51,"19-138, GBR",Australia,W. Pacific,-19.7999999,149.43333,mid shelf,reef slope,6,9,Storm,1997,42.31,1996,17.27,1998,39.86,100,40.81777358,94.20940676,7.627376169,-59.18222642,2005,2,7,3.22714286,NA,-25.04,-12.52,NA,12747,2411,0,0,0,36900,Inside,Yes,No,0,1,14.28571,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,436864.5,23,436.8645,Fitzroy,NA,2226855,8250764,0.43917514,0,0,0.8693128,0,0,0.22687492,4,68,25264,25315,2,68,25264,25315,195,533,-0.686811165,-0.051124152,0.502719061,0.685989359,-0.999503801,-1.287787123,-0.246277747,0.651306293,-0.435333232,-0.435333232,-0.725222426
67,69,63,155,Wilson et al 2009,51,"Chicken Reef, GBR",Australia,W. Pacific,-18.6499999,147.7,outer shelf,reef slope,6,9,COTS,2003,38.08,2002,12.88,2004,13.42,100,33.82352941,35.24159664,1.418067227,-66.17647059,2005,2,1,0.54,NA,-25.2,-12.6,NA,4821,0,0,0,0,78900,Inside,Yes,No,0,1,100,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,630141.13,23,630.14113,Fitzroy,NA,2254938,7941118,0.56146167,0,0,0.9525606,0,0,0.26251193,4,69,24738,24789,2,69,24738,24789,317,358,-0.760924814,-0.039879493,-1.100755795,1.809189772,-0.484030716,-1.128203554,-0.246277747,1.297631124,-0.435333232,-0.435333232,-0.575390565
