,X,point_ID,study,study_ID,location,country,region,lat,long,reef.type,reef.zone,mindepth,maxdepth,disturbance,distrubance.year,pre.dist.cc,pre.dist.year,post.dist.cc,post.dist.year,recovery.cc,recovery.year,resistance.time,recovery_time,calculated.recovery.rate,recovery.rate,resistance,resistance.rate,richness,hii100km,hii75km,hii50km,hii25km,hii10km,distance_to_shore_m,MPA_status,MPA_during_recov,MPA_during_resist,yrs_as_MPA_pre_dist,years_of_recov_protected,percent_recov_protected,MPA_name,MPA_designation,MPA_DESIG_TYPE,MPA_IUCN_CAT,NO_TAKE,STATUS,STATUS_YR,river,riv_row,dist_to_riv_m,coast,dist_to_riv_km,name,name_alt,hii500km,hii1000km,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,gravity.point.ID,gravity.poly.ID,gravity.reef_ID,gravity.Grav_tot,travel_time.point.ID,travel_time.poly.ID,travel_time.reef_ID,travel_time.tt_pop,travel_time.tt_market
47,87,177,Haapkyla et al (2013),59,"Geoffrey Bay, GBR, Australia",Australia,W. Pacific,-19.1558332,146.86111,inner shelf,inner shelf,5,5,Bleaching,2009,39.44,2008,21.67,2009,30.28,2010,1,1,8.61,NA,-17.77,-17.77,NA,196220,108349,60479,24087,1481,6.81E+01,Inside,Yes,Yes,5,1,100,Great Barrier Reef,Marine Park,National,II: National Park,All,Designated,2004,1329,194,634576.25,23,634.57625,Fitzroy,NA,2715177,8211066,0.97698114,0.7335885,0,0.9648326,0.9298588,0.7067787,0.71465533,1,47,NA,NA,NA,47,NA,NA,NA,NA
48,86,176,Haapkyla et al (2013),59,"Nelly Bay, GBR, Australia",Australia,W. Pacific,-19.1719444,146.84833,inner shelf,inner shelf,5,5,Bleaching,2009,58.06,2008,31.39,2009,48.61,2010,1,1,17.22,NA,-26.67,-26.67,NA,200650,110833,62516,27353,2023,1.40E+03,Inside,Yes,Yes,5,1,100,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,634051.58,23,634.05158,Fitzroy,NA,2729085,8226280,0.98233785,0.8788373,0,0.9911715,0.9403781,0.7037754,0.74648684,4,48,NA,NA,NA,48,NA,NA,NA,NA
49,85,175,Phongsuwan et al (2013),58,"Similan Islands, Thailand",Thailand,Indian Ocean,8.6600001,97.65,reef slope,reef slope,2,15,Bleaching,1998,26.84,1988,29.4,2002,31.66,2006,14,4,0.565,NA,2.56,0.1828571,NA,71994,11193,190,162,126,5.07E+02,Inside,Yes,Yes,20,4,100,Ao Phangnga - Mu Koh Surin - Mu Koh Similan,National Park and ASEAN Heritage Park,National,II: National Park,Not Reported,Designated,1982,1322,192,674621.99,123,674.62199,Asahan,NA,3164143,21189829,0.27337941,0.5554436,0,0.9945967,0,0,0.31615745,4,49,9323,9341,36,49,9323,9341,36,260
50,84,174,Phongsuwan et al (2013),58,"Surin Islands, Thailand",Thailand,Indian Ocean,9.4100001,97.88,reef slope,reef slope,2,15,Bleaching,1998,43.01,1988,35.54,1998,55.28,2006,10,8,2.4675,NA,-7.47,-0.747,NA,104190,31784,1312,461,443,7.23E+02,Inside,Yes,Yes,17,8,100,Mu Ko Surin,Marine National Park,National,II: National Park,All,Designated,1981,1322,192,745121.28,123,745.12128,Asahan,NA,2860220,23659840,0.33144163,0.7353469,0,0.9947615,0.5522289,0,0.4420619,4,50,8765,8781,26,50,8765,8781,9,318
51,83,173,Kuo et al (2012),57,"Wanlitung Reef, Taiwan",Taiwan,W. Pacific,21.9950168,120.7036,fringing reef,,,,"Bleaching, Storm",1997,35,1987,19.57,1999,46.92,2003,12,4,6.8375,NA,-15.43,-1.2858333,NA,190314,99317,41380,18849,6404,7.13E+02,Inside,Yes,Yes,15,4,100,Kenting,National Park,National,II: National Park,Not Reported,Designated,1984,1242,183,681319.6,278,681.3196,Ou,NA,3232136,21020005,0.96647375,0.9176863,0,0.9573778,0.7871304,0.8248485,0.73968275,1,51,NA,NA,NA,51,NA,NA,NA,NA
52,82,172,Shibuna et al (2002),56,"Ishigaki Island, Japan",Japan,W. Pacific,24.4700001,124.21,outer reef flat,reef flat,1,2,Bleaching,1998,38.6,1997,2.5,1998,4.9,2000,1,2,1.2,NA,-36.1,-36.1,NA,18610,18610,16822,9600,5242,1.54E+03,Inside,Yes,Yes,26,2,100,Iriomote ishigaki,National Park,National,II: National Park,Not Reported,Designated,1972,1242,183,544598.65,278,544.59865,Ou,NA,1467763,16462819,0.85653013,0.9024104,0,0.9740274,0.712226,0.7378623,0.69605233,4,52,1482,1482,324,52,1482,1482,2,794
53,74,165,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,3,4,Bleaching,1998,11.05,1998,8,1999,6,2000,1,1,-2,NA,-3.05,-3.05,NA,65996,61599,51080,30576,10046,8.85E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,53,713,713,6644,53,713,713,4,13
54,76,167,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,9,10,Bleaching,1998,25.53,1998,16.49,1999,17.98,2000,1,1,1.49,NA,-9.04,-9.04,NA,65996,61599,51080,30576,10046,8.85E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,54,713,713,6644,54,713,713,4,13
55,81,171,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,9,10,Bleaching,1998,18.19,1998,9.15,1999,9.36,2000,1,1,0.21,NA,-9.04,-9.04,NA,66156,62145,51812,30049,9946,7.01E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,55,676,676,1511,55,676,676,1,43
56,80,170,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,6,7,Bleaching,1998,23.19,1998,14.04,1999,6.38,2000,1,1,-7.66,NA,-9.15,-9.15,NA,66156,62145,51812,30049,9946,7.01E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,56,676,676,1511,56,676,676,1,43
57,77,168,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,0,1,Bleaching,1998,12.42,1998,2.42,1999,2.84,2000,1,1,0.42,NA,-10,-10,NA,66156,62145,51812,30049,9946,7.01E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,57,676,676,1511,57,676,676,1,43
58,75,166,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,6,7,Bleaching,1998,22.77,1998,8.72,1999,14.26,2000,1,1,5.54,NA,-14.05,-14.05,NA,65996,61599,51080,30576,10046,8.85E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,58,713,713,6644,58,713,713,4,13
59,78,169,Bena and Van Woesik (2004),55,"Site 2, Okinawa, Japan",Japan,W. Pacific,26.3494141,127.74336,,,3,4,Bleaching,1998,25.26,1998,2.74,1999,3.47,2000,1,1,0.73,NA,-22.52,-22.52,NA,66156,62145,51812,30049,9946,7.01E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,736733.89,278,736.73389,Ou,NA,132393,10846338,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,59,676,676,1511,59,676,676,1,43
60,73,164,Bena and Van Woesik (2004),55,"Site 1, Okinawa, Japan",Japan,W. Pacific,26.3166668,127.75,,,0,1,Bleaching,1998,47.05,1998,1.05,1999,1.05,2000,1,1,0,NA,-46,-46,NA,65996,61599,51080,30576,10046,8.85E+02,Inside,No,No,0,0,0,Common fishery right area(Okinawa),Common fishery right area,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,2003,1242,183,738445.69,278,738.44569,Ou,NA,132393,10727902,0.99217097,0.9963367,0,0.994267,0.8280859,0.8478065,0.7739646,2,60,713,713,6644,60,713,713,4,13
61,72,163,Schleyer et al (2008),54,"9 mile reef, South Africa",South Africa,Indian Ocean,-27.4149166,32.72661,shelf slope,reef slope,12,12,Bleaching,2000,12.74,2000,12.36,2001,13.99,2006,1,5,0.326,NA,-0.38,-0.38,NA,336051,188186,82197,22103,3844,7.72E+02,Inside,Yes,Yes,1,5,100,Maputaland Marine Protected Area,Marine Protected Area,National,Not Reported,Not Reported,Designated,2000,1116,176,720963.32,24,720.96332,Great Kei,NA,8701788,27880069,NA,0.6523738,0,0,0.4892416,0.6145966,0.34145328,2,61,NA,NA,NA,61,NA,NA,NA,NA
62,70,161,Wakeford et al (2008),53,"Lizard Island, GBR",Australia,W. Pacific,-14.6999999,145.46,fore reef,reef slope,2.5,2.5,Storm,1990,28.1,1989,20.59,1991,41.48,1995,2,4,5.2225,NA,-7.51,-3.755,NA,44540,24180,7288,44,40,1.66E+03,Inside,No,No,0,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1086500.19,22,1086.50019,Roper,NA,1556447,8193603,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,62,22637,22686,1,62,22637,22686,121,522
63,69,160,Wakeford et al (2008),53,"Lizard Island, GBR",Australia,W. Pacific,-14.6999999,145.46,fore reef,reef slope,2.5,2.5,"Bleaching, COTS",1982,25.38,1981,10.38,1982,28.1,1989,1,7,2.53142857,NA,-15,-15,NA,44540,24180,7288,44,40,1.66E+03,Inside,No,No,0,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1086500.19,22,1086.50019,Roper,NA,1556447,8193603,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,63,22637,22686,1,63,22637,22686,121,522
64,71,162,Wakeford et al (2008),53,"Lizard Island, GBR",Australia,W. Pacific,-14.6999999,145.46,fore reef,reef slope,2.5,2.5,COTS,1996,41.48,1995,18.68,1997,23.98,2002,2,5,1.06,NA,-22.8,-11.4,NA,44540,24180,7288,44,40,1.66E+03,Inside,No,No,0,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1086500.19,22,1086.50019,Roper,NA,1556447,8193603,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,64,22637,22686,1,64,22637,22686,121,522
65,67,159,Reigl et al (2009),52,"Roatan, Honduras",Honduras,Caribbean,16.3223016,-86.58125,reef crest,reef slope,12,12,"Bleaching, Storm",1998,28.63,1998,19.68,1999,18.78,2005,1,6,-0.15,NA,-8.95,-8.95,NA,158014,40226,4650,3014,1445,1.27E+02,Inside,No,No,0,0,0,Islas de la Bahia,Marine National Park,National,Not Reported,Not Reported,Designated,2013,767,121,130566.77,207,130.56677,Ula,NA,9429893,20211650,0.77704107,0.9593926,0.9982233,0.9987362,0.6610453,0.7255541,0.85978503,4,65,NA,NA,NA,65,NA,NA,NA,NA
66,65,157,Wilson et al 2009,51,"Low Isles, GBR",Australia,W. Pacific,-16.3833332,145.56667,inner shelf,reef slope,6,9,"COTS, Storm",1999,31.06,1998,9.66,2000,17.9,2005,2,5,1.648,NA,-21.4,-10.7,NA,159895,94886,41929,8495,0,1.55E+04,Inside,Yes,No,0,1,20,Great Barrier Reef,Marine Park,National,II: National Park,All,Designated,2004,1329,194,964419.68,23,964.41968,Fitzroy,NA,2018153,7568098,0.85935832,0.3476079,0,0.9521943,0.8464764,0.6405948,0.60222825,4,66,NA,NA,NA,66,NA,NA,NA,NA
67,61,153,Wilson et al 2009,51,"19-131, GBR",Australia,W. Pacific,-19.7666666,149.36667,mid shelf,reef slope,6,9,Storm,1997,61.63,1996,38.24,1998,43.28,2005,2,7,0.72,NA,-23.39,-11.695,NA,16759,2512,0,0,0,4.46E+04,Inside,Yes,No,0,1,14.28571,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,442662.85,23,442.66285,Fitzroy,NA,2240383,8238431,0.44357663,0,0,0,0,0,0.07691046,1,67,25263,25314,2,67,25263,25314,168,519
68,62,154,Wilson et al 2009,51,"19-138, GBR",Australia,W. Pacific,-19.7999999,149.43333,mid shelf,reef slope,6,9,Storm,1997,42.31,1996,17.27,1998,39.86,2005,2,7,3.22714286,NA,-25.04,-12.52,NA,12747,2411,0,0,0,3.69E+04,Inside,Yes,No,0,1,14.28571,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,436864.5,23,436.8645,Fitzroy,NA,2226855,8250764,0.43917514,0,0,0.8693128,0,0,0.22687492,4,68,25264,25315,2,68,25264,25315,195,533
69,63,155,Wilson et al 2009,51,"Chicken Reef, GBR",Australia,W. Pacific,-18.6499999,147.7,outer shelf,reef slope,6,9,COTS,2003,38.08,2002,12.88,2004,13.42,2005,2,1,0.54,NA,-25.2,-12.6,NA,4821,0,0,0,0,7.89E+04,Inside,Yes,No,0,1,100,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,630141.13,23,630.14113,Fitzroy,NA,2254938,7941118,0.56146167,0,0,0.9525606,0,0,0.26251193,4,69,24738,24789,2,69,24738,24789,317,358
70,66,158,Wilson et al 2009,51,"Thetford Reef, GBR",Australia,W. Pacific,-16.7999999,146.2,mid shelf,reef slope,6,9,COTS,2000,37.89,1999,8.42,2001,7.37,2005,2,4,-0.2625,NA,-29.47,-14.735,NA,126977,55900,9237,4,0,2.53E+04,Inside,Yes,No,0,1,25,Great Barrier Reef,Marine Park,National,IV: Protected Seascape: Habitat / Species Management Area,Part,Designated,2004,1329,194,888733.68,23,888.73368,Fitzroy,NA,2003102,7347791,0.81056732,0,0,0.9804198,0,0,0.31053406,4,70,23740,23790,7,70,23740,23790,133,141
71,64,156,Wilson et al 2009,51,"Havannah Island, GBR",Australia,W. Pacific,-18.8499999,146.55,inner shelf,reef slope,6,9,"Bleaching, Storm","1998, 2000",44.08,1997,7.81,2001,9.34,2005,4,4,0.3825,NA,-36.27,-9.0675,NA,176827,114179,50273,1118,50,1.01E+04,Inside,Yes,Yes,0,1,25,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,681682.93,23,681.68293,Fitzroy,NA,2654862,7986205,0.79416006,0.4822698,0,0.7656239,0.6503053,0.6961841,0.56038268,1,71,24835,24886,12,71,24835,24886,66,126
72,60,152,Halford et al 2009,50,"Scott Reef, Australia",Australia,Indian Ocean,-14.1816478,121.8462,lagoon,back reef,3,20,Bleaching,1997,44.81,1997,13.47,1998,22.87,2003,1,5,1.88,NA,-31.34,-31.34,NA,0,0,0,0,0,2.57E+05,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,491,76,421607.17,22,421.60717,Fitzroy,NA,534406,4448030,0.2505853,0.3087955,0,0,0,0,0.09698942,2,72,22453,22501,0,72,22453,22501,927,1574
73,59,151,Halford et al 2009,50,"Scott Reef, Australia",Australia,Indian Ocean,-14.0756197,121.98421,fore reef,fore reef slope,3,20,Bleaching,1997,53.33,1997,6.63,1998,12.43,2003,1,5,1.16,NA,-46.7,-46.7,NA,0,0,0,0,0,2.50E+05,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,491,76,426182.93,22,426.18293,Fitzroy,NA,563903,4485966,0.25903242,0,0,0,0,0,0.04491288,1,73,22421,22469,0,73,22421,22469,939,1526
74,58,150,Reigl et al 2002,49,"Dubai, UAE",UAE,Arabian Gulf,24.9863871,54.98976,fringing,,,,Bleaching,1998,90,1996,26,1998,22,1999,2,1,-4,NA,-64,-32,NA,448074,264425,119671,34443,6737,2.70E+01,Inside,Yes,Yes,0,1,100,Jabal Ali,Protected Area,National,Not Reported,All,Designated,1998,1315,189,844433.52,230,844.43352,Shatt al-Arab,NA,8983052,33612695,NA,0.9297201,0,0,0.5935339,0.718184,0.43816218,2,74,NA,NA,NA,74,NA,NA,NA,NA
75,45,139,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER6_Outer_17, Moorea",Moorea,E. Pacific,-17.5117999,-149.9286,fore reef,,~17m,~17m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),13.23,2006,1,2010,18.47,2015,4,5,3.494,NA,-12.23,-3.0575,NA,26354,22472,11830,3160,1374,7.27E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3940510.11,4038,3940.51011,Whakatane,NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,75,24189,24239,43,75,24189,24239,13,84
76,47,140,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER2_Outer_10, Moorea",Moorea,E. Pacific,-17.4702999,-149.8112,fore reef,,~10m,~10m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),29.44,2006,3.92,2010,37.96,2015,4,5,6.808,NA,-25.52,-6.38,NA,26354,24796,17486,3434,2268,6.18E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3952865.33,4038,3952.86533,Whakatane,NA,35792,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,76,24123,24173,81,76,24123,24173,8,66
77,54,147,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER4_Outer_10, Moorea",Moorea,E. Pacific,-17.5521999,-149.7703,fore reef,,~10m,~10m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),37.55,2006,9.88,2010,21.46,2015,4,5,2.316,NA,-27.67,-6.9175,NA,26354,26354,21134,6820,2278,4.81E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950004.95,4038,3950.00495,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,77,24191,24241,356,77,24191,24241,1,52
78,52,145,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER5_Outer_10, Moorea",Moorea,E. Pacific,-17.5882999,-149.8714,fore reef,,~10m,~10m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),37.08,2006,8.72,2010,23.44,2015,4,5,2.944,NA,-28.36,-7.09,NA,26354,24652,16278,3160,1930,2.58E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939333.51,4038,3939.33351,Whakatane,NA,35762,42404,0.72877451,0.8856326,0,0.9373214,0.9589157,0.7013801,0.69683697,5,78,24190,24240,30,78,24190,24240,22,88
79,48,141,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER2_Outer_17, Moorea",Moorea,E. Pacific,-17.4702999,-149.8112,fore reef,,~17m,~17m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),29.72,2006,0.74,2010,13.23,2015,4,5,2.498,NA,-28.98,-7.245,NA,26354,24796,17486,3434,2268,6.18E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3952865.33,4038,3952.86533,Whakatane,NA,35792,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,79,24123,24173,81,79,24123,24173,8,66
80,51,144,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER5_Outer_17, Moorea",Moorea,E. Pacific,-17.5882999,-149.8714,fore reef,,~17m,~17m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),36.95,2006,5.34,2010,20.64,2015,4,5,3.06,NA,-31.61,-7.9025,NA,26354,24652,16278,3160,1930,2.58E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939333.51,4038,3939.33351,Whakatane,NA,35762,42404,0.72877451,0.8856326,0,0.9373214,0.9589157,0.7013801,0.69683697,5,80,24190,24240,30,80,24190,24240,22,88
81,49,142,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER3_Outer_17, Moorea",Moorea,E. Pacific,-17.5090999,-149.7584,fore reef,,~17m,~17m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),35.96,2006,1.25,2010,7.01,2015,4,5,1.152,NA,-34.71,-8.6775,NA,26354,26256,20858,6446,1794,3.94E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3954148.6,4038,3954.1486,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,81,NA,NA,NA,81,NA,NA,NA,NA
82,50,143,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER4_Outer_17, Moorea",Moorea,E. Pacific,-17.5521999,-149.7703,fore reef,,~17m,~17m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),36.01,2006,1.18,2010,15.31,2015,4,5,2.826,NA,-34.83,-8.7075,NA,26354,26354,21134,6820,2278,4.81E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950004.95,4038,3950.00495,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,82,24191,24241,356,82,24191,24241,1,52
83,53,146,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER6_Outer_10, Moorea",Moorea,E. Pacific,-17.5117999,-149.9286,fore reef,,~10m,~10m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),37.14,2006,2.03,2010,28.86,2015,4,5,5.366,NA,-35.11,-8.7775,NA,26354,22472,11830,3160,1374,7.27E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3940510.11,4038,3940.51011,Whakatane,NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,83,24189,24239,43,83,24189,24239,13,84
84,55,148,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER3_Outer_10, Moorea",Moorea,E. Pacific,-17.5090999,-149.7584,fore reef,,~10m,~10m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),40.67,2006,0.59,2010,4.28,2015,4,5,0.738,NA,-40.08,-10.02,NA,26354,26256,20858,6446,1794,3.94E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3954148.6,4038,3954.1486,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,84,NA,NA,NA,84,NA,NA,NA,NA
85,56,149,Holbrook et al 2018 using extract from data release of Guest 2018,48,"LTER1_Outer_17, Moorea",Moorea,E. Pacific,-17.4771999,-149.8461,fore reef,,~17m,~17m,Storm,2010 (with COTS from 2007-2009 and bleaching in 2007),43.95,2006,1.05,2010,15.12,2015,4,5,2.814,NA,-42.9,-10.725,NA,26354,24040,15884,3160,2836,8.84E+01,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3949596.85,4038,3949.59685,Whakatane,NA,35782,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,85,24122,24172,54,85,24122,24172,13,80
86,44,138,Baird et al 2018,47,"Trimodal Reef, Australia, Northern GBR",Australia,W. Pacific,-14.6997999,145.4486,semi-exposed mid-shelf reef,shelf,1 meter,1 meter,Storm,2014,34.9,2014,3.9,2015,NA,N/A,1,NA,NA,NA,-31,-31,NA,45544,24836,7768,44,40,2.01E+03,Inside,Yes,Yes,11,0,0,Great Barrier Reef,Marine Park,National,Ia: Strict Nature ReserV: Protected Seascapee,All,Designated,2004,1081,167,1085273.62,22,1085.27362,Roper,NA,1558288,8198311,0.46790658,0.3108469,0,0.9946333,0.6263977,0.5031047,0.4805513,4,86,NA,NA,NA,86,NA,NA,NA,NA
87,41,135,Perry and Morgan 2017,46,"Kodehutigala, in Huvadhoo atoll, southern Maldives",Maldives,Indian Ocean,0.2900001,73.19,atoll,slope,2 meter depth contour,2 meter depth contour,Bleaching,2016,20.7,2016,5.7,2016,4.3,2017,0,1,-1.4,NA,-15,NA,NA,0,0,0,0,0,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1379,204,1240787.44,145,1240.78744,NA,NA,NA,46409,0.16165646,0.5261741,0,0.7010953,0,0,0.24082182,4,87,12936,12960,4,87,12936,12960,30,1516
88,42,136,Perry and Morgan 2017,46,"Kadumaigala, in Huvadhoo atoll, southern Maldives",Maldives,Indian Ocean,0.2650751,73.19,atoll,slope,2 meter depth contour,2 meter depth contour,Bleaching,2016,21.5,2016,5.2,2016,3.9,2017,0,1,-1.3,NA,-16.3,NA,NA,0,0,0,0,0,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1379,204,1242541.88,145,1242.54188,NA,NA,NA,38632,0.16165646,0.5261741,0,0.7010953,0,0,0.24082182,4,88,12996,13020,15,88,12996,13020,8,1512
89,39,133,Perry and Morgan 2017,46,"Mahutigala, Huvadhoo atoll, southern Maldives",Maldives,Indian Ocean,0.2900001,73.22,atoll,slope,2 meter depth contour,2 meter depth contour,Bleaching,2016,23.5,2016,5.3,2016,5.4,2017,0,1,0.1,NA,-18.2,NA,NA,0,0,0,0,0,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1379,204,1238200.22,145,1238.20022,NA,NA,NA,51071,0.16218089,0.5489963,0,0.7154553,0,0,0.24735967,4,89,12937,12961,5,89,12937,12961,19,1505
90,43,137,Perry and Morgan 2017,46,"Kafigahlaa, in Huvadhoo atoll, southern Maldives",Maldives,Indian Ocean,0.2900001,73.2,atoll,slope,2 meter depth contour,2 meter depth contour,Bleaching,2016,27.3,2016,5.7,2016,5.8,2017,0,1,0.1,NA,-21.6,NA,NA,0,0,0,0,0,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1379,204,1239924.64,145,1239.92464,NA,NA,NA,47825,0.16165646,0.5261741,0,0.7010953,0,0,0.24082182,4,90,12936,12960,4,90,12936,12960,30,1516
